Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,lat,lon,sample
1660222356.1687834,449,1660222356,148514986,,59.300255600587796,18.73151971836137,7.28897006281146
1660222357.1706576,450,1660222357,149625062,,59.30025480794024,18.731524824768258,7.4097426846099
1660222358.1776693,451,1660222358,148387908,,59.30025911461751,18.731538278242624,7.5640975927920255
1660222359.165919,452,1660222359,148590087,,59.30026146704053,18.7315483927855,7.729918187392644
1660222360.1741946,453,1660222360,152183055,,59.300269710362535,18.731544396135178,7.447857841930971
1660222361.1678379,454,1660222361,148900985,,59.300262949529646,18.73154050216567,7.522348231519424
1660222362.176207,455,1660222362,148452043,,59.300257375420706,18.73152501661798,7.324682696715027
1660222363.1739628,456,1660222363,148730993,,59.30025939738184,18.731522870317917,7.204225809507935
1660222364.1693916,457,1660222364,148432970,,59.30025622882575,18.731516215166266,7.195549498016388
1660222365.1711836,458,1660222365,149411916,,59.30025518210923,18.731512191103548,7.170500329334244
1660222366.1658907,459,1660222366,148219108,,59.30025392463896,18.731507806470177,7.161296680130154
1660222367.1753623,460,1660222367,148361921,,59.30026845824963,18.731518302593486,6.715724564432617
1660222368.1696846,461,1660222368,148376941,,59.30028096479456,18.73152285105232,6.400983979635873
1660222369.1711411,462,1660222369,148207902,,59.30029285606591,18.731525381218034,6.037725223408747
1660222370.1703157,463,1660222370,148227930,,59.300296923568396,18.731514407637746,5.558946500082072
1660222371.172164,464,1660222371,148344039,,59.30027913208126,18.731521496482287,6.417598878813204
1660222372.1667268,465,1660222372,148258924,,59.300284686623776,18.73151910231627,6.12640126546808
1660222373.1684294,466,1660222373,148155927,,59.30029446415839,18.731514671727837,5.645682778162325
1660222374.1686275,467,1660222374,148452997,,59.300298707998884,18.731522723599255,5.735283050833394
1660222375.1673949,468,1660222375,148300886,,59.30030385655061,18.73152810852423,5.748369675083683
1660222376.1700811,469,1660222376,148134946,,59.30030965004547,18.73153470030752,6.0099186038148495
1660222377.1748834,470,1660222377,148592948,,59.30030920474006,18.73153750503559,6.083680137952406
1660222378.167087,471,1660222378,148452043,,59.300309992333005,18.73154042629517,6.176125205581361
1660222379.1783986,472,1660222379,148150920,,59.30032207680664,18.731560338607892,6.705741634709102
1660222380.1682687,473,1660222380,148561000,,59.300334511516546,18.731568426809417,6.4680090610293774
1660222381.167595,474,1660222381,148184061,,59.30033305516785,18.731568228515243,6.55120360508267
1660222382.1728892,475,1660222382,148312091,,59.3003309052274,18.73156446048472,6.645172674814245
1660222383.169097,476,1660222383,149283885,,59.300329732687814,18.731576893656552,6.810211740364301
1660222384.1649857,477,1660222384,147705078,,59.300330819457685,18.731579216997716,6.779656750250306
1660222385.167943,478,1660222385,148317098,,59.3003289856025,18.731586113185358,6.907434331775299
1660222386.1675708,479,1660222386,148325920,,59.30033185267592,18.731597230230477,6.941361593270828
